"id","ele_name","data_time","level","file_name","file_path","png_path","json_path","png_relative_path","json_relative_path","create_time","task_id","timer","date"
"1940009698661105665","mcc","1/1/2014 23:00:00","1000","ERA5_MCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_MCC_20140101.nc","/home/wyz/PDS/NC/20140101/mcc/mcc_20140101_23_1751369330130.png","/home/wyz/PDS/NC/20140101/mcc/mcc_20140101_23_1751369330130.json","/NC/NC/20140101/mcc/mcc_20140101_23_1751369330130.png","/NC/NC/20140101/mcc/mcc_20140101_23_1751369330130.json","1/7/2025 11:28:50.273","1940008733325262850","23","20140101"
"1940009734799228930","hcc","1/1/2014 00:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_00_1751369336798.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_00_1751369336798.json","/NC/NC/20140101/hcc/hcc_20140101_00_1751369336798.png","/NC/NC/20140101/hcc/hcc_20140101_00_1751369336798.json","1/7/2025 11:28:59.068","1940008733325262850","0","20140101"
"1940009734811811842","hcc","1/1/2014 01:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_01_1751369336884.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_01_1751369336884.json","/NC/NC/20140101/hcc/hcc_20140101_01_1751369336884.png","/NC/NC/20140101/hcc/hcc_20140101_01_1751369336884.json","1/7/2025 11:28:59.068","1940008733325262850","1","20140101"
"1940009734832783361","hcc","1/1/2014 02:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_02_1751369336968.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_02_1751369336968.json","/NC/NC/20140101/hcc/hcc_20140101_02_1751369336968.png","/NC/NC/20140101/hcc/hcc_20140101_02_1751369336968.json","1/7/2025 11:28:59.068","1940008733325262850","2","20140101"
"1940009734853754882","hcc","1/1/2014 03:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_03_1751369337056.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_03_1751369337056.json","/NC/NC/20140101/hcc/hcc_20140101_03_1751369337056.png","/NC/NC/20140101/hcc/hcc_20140101_03_1751369337056.json","1/7/2025 11:28:59.068","1940008733325262850","3","20140101"
"1940009734870532098","hcc","1/1/2014 04:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_04_1751369337141.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_04_1751369337141.json","/NC/NC/20140101/hcc/hcc_20140101_04_1751369337141.png","/NC/NC/20140101/hcc/hcc_20140101_04_1751369337141.json","1/7/2025 11:28:59.068","1940008733325262850","4","20140101"
"1940009734891503617","hcc","1/1/2014 05:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_05_1751369337246.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_05_1751369337246.json","/NC/NC/20140101/hcc/hcc_20140101_05_1751369337246.png","/NC/NC/20140101/hcc/hcc_20140101_05_1751369337246.json","1/7/2025 11:28:59.068","1940008733325262850","5","20140101"
"1940009734912475137","hcc","1/1/2014 06:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_06_1751369337328.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_06_1751369337328.json","/NC/NC/20140101/hcc/hcc_20140101_06_1751369337328.png","/NC/NC/20140101/hcc/hcc_20140101_06_1751369337328.json","1/7/2025 11:28:59.068","1940008733325262850","6","20140101"
"1940009734933446658","hcc","1/1/2014 07:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_07_1751369337414.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_07_1751369337414.json","/NC/NC/20140101/hcc/hcc_20140101_07_1751369337414.png","/NC/NC/20140101/hcc/hcc_20140101_07_1751369337414.json","1/7/2025 11:28:59.068","1940008733325262850","7","20140101"
"1940009734962806786","hcc","1/1/2014 08:00:00","1000","ERA5_HCC_20140101.nc","/home/wyz/output/1940008733325262850/20140101/ERA5_HCC_20140101.nc","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_08_1751369337499.png","/home/wyz/PDS/NC/20140101/hcc/hcc_20140101_08_1751369337499.json","/NC/NC/20140101/hcc/hcc_20140101_08_1751369337499.png","/NC/NC/20140101/hcc/hcc_20140101_08_1751369337499.json","1/7/2025 11:28:59.068","1940008733325262850","8","20140101"
